OrderNumber,WarehouseStatus,CustOrderNum,ItemNumber,Warehouse,OrderQty,ShippedQty,CancelQty
S8288495,Waved,#24083191,W6240R011,AS,1,0,0
S8288496,Manifested,#24083194,U3031RG012,AS,1,0,0
S8288496,Manifested,#24083194,W6472RG013,AS,1,0,0
S8288508,Accepted,#24083197,W9533R012,AS,1,0,0
S8288508,Accepted,#24083197,W51154R013,AS,1,0,0
S8288527,Waved,#24083199,W1406R003,AS,1,0,0
S8288558,Manifested,#24083200,W51417R056173,AS,1,0,0
S8288558,Manifested,#24083200,W51417R056174,AS,1,0,0
S8288558,Manifested,#24083200,W9789R056173,AS,1,0,0
S8288558,Manifested,#24083200,W7066R018581,AS,1,0,0
S8288558,Manifested,#24083200,W9671R013,AS,1,0,0
V8288558,,#24083200,B2M14G00011,AV,1,0,0
WFM88540,Accepted,#24083202,A0684U001,AYS112,1,0,0
S8288565,Manifested,#24083210,W9533R014,AS,1,0,0
S8288572,Accepted,#24083211,W51432R044811,AS,1,0,0
S8288575,Waved,#24083214,W51119R044813,AS,1,0,0
S8288582,Picking,#24083217,W8278R01002,AS,1,0,0
S8288582,Picking,#24083217,W4575R011,AS,1,0,0
S8288585,Waved,#24083215,N7011F00012OZ,AS,1,0,0
S8288585,Waved,#24083215,W6480R000,AS,1,0,0
BC288585,Accepted,#24083215,W3660R001,AYS077,1,0,0
V8288635,accepted,#24083218,N7011F00012OZ,AV,1,0,0
V8288635,accepted,#24083218,U3031RG060272,AV,1,0,0
S8288650,Waved,#24083228,M2071R014,AS,2,0,0
V8288652,accepted,#24083229,N7011F00012OZ,AV,1,0,0
S8288652,Waved,#24083229,W9218R032991,AS,1,0,0
V8288652,accepted,#24083229,W51119R040643,AV,1,0,0
V8288652,accepted,#24083229,W9730R011,AV,1,0,0
V8288652,accepted,#24083229,W51432R014,AV,1,0,0
V8288652,accepted,#24083229,U3031RG029103,AV,1,0,0
V8288652,accepted,#24083229,U5012RG029104,AV,1,0,0
S8288676,Waved,#24083235,W4575R013,AS,1,0,0
HG288676,Accepted,#24083235,W54156R060273,AYS037,1,0,0
S8288728,Waved,#24083243,W6472RG054421,AS,1,0,0
S8288701,Accepted,#24083242,U3041RG014,AS,1,0,0
S8288701,Accepted,#24083242,W51432R013,AS,1,0,0
S8288716,Picking,#24083245,A0693U014,AS,1,0,0
S8288716,Picking,#24083245,M3210R013,AS,1,0,0
