Count of Order Id,Org Id,Order Id,Order Name,Line Id,Product Id,Location Id,Fulfillment Id,Status,Order Date PST,Order Shipment Line Units in Status,Order Line Type,Status Entered Time PST,Current Time PST,Open For Hours Order Date,Open For Hours Status Entered Time,Status Updated Time
1532,ALO,6482120343911,#23171301,4,B2M25G00011,AM,6482120343911_AM_905,RELEASED,2025-05-24 00:43:15,1.0,SALES,2025-05-25 15:46:25,2025-07-01 10:05:56,39,883,2025-05-25 22:46:25
1532,ALO,6482138333543,#23171717,3,M6114R01014,AV,6482138333543_AV_116,RELEASED,2025-05-24 03:29:39,1.0,SALES,2025-05-24 04:30:34,2025-07-01 10:05:56,1,918,2025-05-24 11:30:34
1532,ALO,6482159173991,#23172240,5,W9730R013,AV,6482159173991_AV_875,RELEASED,2025-05-24 05:50:00,1.0,PREORDER,2025-05-31 05:05:19,2025-07-01 10:05:56,168,749,2025-05-31 12:05:19
1532,ALO,6482187321703,#23172990,3,U4012R040642,AV,6482187321703_AV_861,PICKED,2025-05-24 07:29:52,1.0,SALES,2025-05-24 09:52:17,2025-07-01 10:05:56,2,913,2025-05-24 16:52:17
1532,ALO,6482187321703,#23172990,1,W4493R032992,AV,6482187321703_AV_861,PICKED,2025-05-24 07:29:52,1.0,SALES,2025-05-24 09:52:17,2025-07-01 10:05:56,2,913,2025-05-24 16:52:17
1532,ALO,6482187321703,#23172990,4,W7066R018581,AV,6482187321703_AV_861,PICKED,2025-05-24 07:29:52,1.0,SALES,2025-05-24 09:52:17,2025-07-01 10:05:56,2,913,2025-05-24 16:52:17
1532,ALO,6482187321703,#23172990,2,A0461U040642,AV,6482187321703_AV_861,PICKED,2025-05-24 07:29:52,1.0,SALES,2025-05-24 09:52:17,2025-07-01 10:05:56,2,913,2025-05-24 16:52:17
1532,ALO,6482187321703,#23172990,5,W3781R032992,AV,6482187321703_AV_861,PICKED,2025-05-24 07:29:52,1.0,SALES,2025-05-24 09:52:17,2025-07-01 10:05:56,2,913,2025-05-24 16:52:17
1532,ALO,6482187321703,#23172990,6,W51383R032992,AV,6482187321703_AV_861,PICKED,2025-05-24 07:29:52,1.0,SALES,2025-05-24 09:52:17,2025-07-01 10:05:56,2,913,2025-05-24 16:52:17
1532,ALO,6482221105511,#23173904,4,W51433R014,10076,6482221105511_10076_379,RELEASED,2025-05-24 08:30:05,1.0,SALES,2025-05-24 09:01:03,2025-07-01 10:05:56,1,913,2025-05-24 16:01:03
1532,ALO,6482221072743,#23173905,3,W6334R013,AV,6482221072743_AV_495,RELEASED,2025-05-24 08:30:06,1.0,PREORDER,2025-06-21 05:01:26,2025-07-01 10:05:56,669,245,2025-06-21 12:01:26
1532,ALO,6482269012327,#23175238,8,W1478R060813,AV,6482269012327_AV_699,PICKED,2025-05-24 09:23:26,2.0,SALES,2025-05-24 12:11:40,2025-07-01 10:05:56,3,910,2025-05-24 19:11:40
1532,ALO,6482269012327,#23175238,3,U5012RG029103,AV,6482269012327_AV_699,PICKED,2025-05-24 09:23:26,1.0,SALES,2025-05-24 12:11:40,2025-07-01 10:05:56,3,910,2025-05-24 19:11:40
1532,ALO,6482300928359,#23176115,3,W4529R012,10030,6482300928359_10030_725,RELEASED,2025-05-24 09:54:02,1.0,SALES,2025-05-24 10:25:57,2025-07-01 10:05:56,1,912,2025-05-24 17:25:57
1532,ALO,6482300928359,#23176115,3,W4529R012,10049,6482300928359_10049_203,RELEASED,2025-05-24 09:54:02,1.0,SALES,2025-05-24 10:24:56,2025-07-01 10:05:56,1,912,2025-05-24 17:24:56
1532,ALO,6482379735399,#23178281,1,W54174R011,AV,6482379735399_AV_546,RELEASED,2025-05-24 10:57:26,1.0,PREORDER,2025-06-10 05:03:20,2025-07-01 10:05:56,403,509,2025-06-10 12:03:20
1532,ALO,6482389664103,#23178554,1,W6334R012,AV,6482389664103_AV_611,RELEASED,2025-05-24 11:04:32,1.0,PREORDER,2025-06-10 05:03:19,2025-07-01 10:05:56,402,509,2025-06-10 12:03:19
1532,ALO,6482466439527,#23180679,4,W6334R038422,AS,6482466439527_AS_946,PICKED,2025-05-24 11:55:08,1.0,PREORDER,2025-06-26 15:42:23,2025-07-01 10:05:56,796,115,2025-06-26 22:42:23
1532,ALO,6482645549415,#23185627,1,W1430R014,AM,6482645549415_AM_917,RELEASED,2025-05-24 13:47:16,1.0,SALES,2025-05-24 15:18:16,2025-07-01 10:05:56,2,907,2025-05-24 22:18:16
1532,ALO,6482863227239,#23191761,2,W6334R012,AV,6482863227239_AV_982,RELEASED,2025-05-24 16:16:10,1.0,PREORDER,2025-06-10 05:03:35,2025-07-01 10:05:56,397,509,2025-06-21 12:10:01
1532,ALO,6482919948647,#23193348,3,W6334R012,AV,6482919948647_AV_165,RELEASED,2025-05-24 17:04:02,1.0,PREORDER,2025-06-10 05:03:50,2025-07-01 10:05:56,396,509,2025-06-10 12:03:50
1532,ALO,6483012026727,#23195935,3,W6334R012,AV,6483012026727_AV_795,RELEASED,2025-05-24 19:00:28,3.0,PREORDER,2025-06-10 05:03:16,2025-07-01 10:05:56,394,509,2025-06-10 12:03:16
1532,ALO,6483063013735,EXCHL-22045349-1,1,W6334R012,AV,6483063013735_AV_162,RELEASED,2025-05-24 21:05:58,2.0,PREORDER,2025-06-10 05:02:51,2025-07-01 10:05:56,392,509,2025-06-10 12:02:51
1532,ALO,6483114426727,#23198626,2,W6334R013,AV,6483114426727_AV_599,RELEASED,2025-05-25 03:16:58,1.0,PREORDER,2025-06-21 05:01:41,2025-07-01 10:05:56,650,245,2025-06-21 12:01:41
1532,ALO,6483129205095,#23198986,2,W6334R013,AV,6483129205095_AV_252,RELEASED,2025-05-25 05:09:00,1.0,PREORDER,2025-06-21 05:01:35,2025-07-01 10:05:56,648,245,2025-06-21 12:01:35
1532,ALO,6483137069415,#23199194,3,M5175R038424,AM,6483137069415_AM_831,RELEASED,2025-05-25 05:48:54,1.0,PREORDER,2025-06-05 05:04:11,2025-07-01 10:05:56,264,629,2025-06-05 12:04:11
1532,ALO,6483227640167,#23201646,2,W6334R038423,AV,6483227640167_AV_448,PICKED,2025-05-25 09:24:07,1.0,PREORDER,2025-06-26 08:38:24,2025-07-01 10:05:56,767,122,2025-06-26 15:38:24
1532,ALO,6483227640167,#23201646,3,W6334R013,AV,6483227640167_AV_913,RELEASED,2025-05-25 09:24:07,1.0,PREORDER,2025-06-21 05:01:02,2025-07-01 10:05:56,644,245,2025-06-21 12:01:02
1532,ALO,6483237732711,#23201927,2,W6334R013,AV,6483237732711_AV_121,RELEASED,2025-05-25 09:34:27,1.0,PREORDER,2025-06-21 05:01:18,2025-07-01 10:05:56,644,245,2025-06-21 12:01:18
1532,ALO,6483239960935,#23201988,7,W9730R013,AV,6483239960935_AV_888,RELEASED,2025-05-25 09:37:31,1.0,PREORDER,2025-05-31 04:04:17,2025-07-01 10:05:56,139,750,2025-05-31 11:04:17
1532,ALO,6483244515687,#23202118,4,W6334R012,AV,6483244515687_AV_569,RELEASED,2025-05-25 09:43:03,1.0,PREORDER,2025-06-10 05:03:45,2025-07-01 10:05:56,380,509,2025-06-10 12:03:45
1532,ALO,6483246809447,#23202182,2,W9730R013,AV,6483246809447_AV_537,RELEASED,2025-05-25 09:46:06,1.0,PREORDER,2025-05-31 05:04:14,2025-07-01 10:05:56,140,749,2025-05-31 12:04:14
1532,ALO,6483335283047,#23204652,10,W51314R010,AV,6483335283047_AV_489,RELEASED,2025-05-25 11:03:35,1.0,SALES,2025-05-25 12:04:30,2025-07-01 10:05:56,1,886,2025-05-25 19:04:30
1532,ALO,6483365757287,#23205496,4,W6334R013,AV,6483365757287_AV_803,RELEASED,2025-05-25 11:25:38,1.0,PREORDER,2025-06-21 05:01:43,2025-07-01 10:05:56,642,245,2025-06-21 12:01:43
1532,ALO,6483365757287,#23205496,2,W51383R055413,AV,6483365757287_AV_657,RELEASED,2025-05-25 11:25:38,1.0,SALES,2025-05-30 14:45:38,2025-07-01 10:05:56,123,764,2025-05-30 21:45:38
1532,ALO,6483371065703,#23205646,1,W6334R012,AV,6483371065703_AV_763,RELEASED,2025-05-25 11:29:32,1.0,PREORDER,2025-06-10 05:03:29,2025-07-01 10:05:56,378,509,2025-06-21 12:10:06
1532,ALO,6483383386471,#23205995,13,W51428R01003,AV,6483383386471_AV_293,RELEASED,2025-05-25 11:38:43,1.0,PREORDER,2025-05-29 05:03:48,2025-07-01 10:05:56,90,797,2025-05-29 12:03:48
1532,ALO,6483871269223,EXCHL-22070280-1,2,W6334R012,AV,6483871269223_AV_740,RELEASED,2025-05-25 18:45:16,1.0,PREORDER,2025-06-10 05:03:03,2025-07-01 10:05:56,371,509,2025-06-10 12:03:03
1532,ALO,6483871269223,EXCHL-22070280-1,1,W6334R038422,AV,6483871269223_AV_785,RELEASED,2025-05-25 18:45:16,1.0,PREORDER,2025-06-22 09:02:32,2025-07-01 10:05:56,663,217,2025-06-22 16:02:32
1532,ALO,6483956662631,#23222083,4,W51433R014,10056,6483956662631_10056_262,PICKED,2025-05-26 01:11:16,1.0,SALES,2025-05-26 06:17:24,2025-07-01 10:05:56,5,868,2025-05-26 13:17:24
1532,ALO,6483973898599,#23222478,2,W9680R01001,AV,6483973898599_AV_579,RELEASED,2025-05-26 03:55:00,1.0,PREORDER,2025-05-26 04:25:57,2025-07-01 10:05:56,1,870,2025-06-03 11:04:55
1532,ALO,6483987464551,#23222820,1,W8321R011,10003,6483987464551_10003_369,RELEASED,2025-05-26 05:24:38,1.0,SALES,2025-05-26 05:55:33,2025-07-01 10:05:56,0,869,2025-05-26 12:55:33
1532,ALO,6483993198951,#23222974,1,W6334R012,AV,6483993198951_AV_995,RELEASED,2025-05-26 05:50:48,1.0,PREORDER,2025-06-10 05:03:17,2025-07-01 10:05:56,360,509,2025-06-21 12:09:53
1532,ALO,6484022034791,#23223766,9,W6334R012,AV,6484022034791_AV_833,RELEASED,2025-05-26 07:28:39,2.0,PREORDER,2025-06-10 05:03:47,2025-07-01 10:05:56,358,509,2025-06-10 12:03:47
1532,ALO,6484041007463,#23224285,1,W9680R01001,AV,6484041007463_AV_247,RELEASED,2025-05-26 08:07:28,1.0,PREORDER,2025-06-03 05:04:01,2025-07-01 10:05:56,189,677,2025-06-03 12:04:01
1532,ALO,6484059554151,EXCHL-22626789-1,1,U3039R055830,AM,6484059554151_AM_176,RELEASED,2025-05-26 08:40:05,1.0,PREORDER,2025-06-05 05:04:37,2025-07-01 10:05:56,237,629,2025-06-05 12:04:37
1532,ALO,6484060963175,#23224825,2,W9730R013,AV,6484060963175_AV_129,RELEASED,2025-05-26 08:40:17,1.0,PREORDER,2025-05-31 05:04:08,2025-07-01 10:05:56,117,749,2025-05-31 12:04:08
1532,ALO,6484157071719,#23227503,4,W9557R040642,AM,6484157071719_AM_283,PICKED,2025-05-26 10:28:53,1.0,SALES,2025-05-26 15:43:23,2025-07-01 10:05:56,5,859,2025-05-26 22:43:23
1532,ALO,6484157071719,#23227503,1,W5604R010,AM,6484157071719_AM_283,PICKED,2025-05-26 10:28:53,1.0,SALES,2025-05-26 15:43:23,2025-07-01 10:05:56,5,859,2025-05-26 22:43:23
1532,ALO,6484157071719,#23227503,2,U3031RG029100,AM,6484157071719_AM_283,PICKED,2025-05-26 10:28:53,1.0,SALES,2025-05-26 15:43:23,2025-07-01 10:05:56,5,859,2025-05-26 22:43:23
1532,ALO,6484157071719,#23227503,3,W6295R040640,AM,6484157071719_AM_283,PICKED,2025-05-26 10:28:53,1.0,SALES,2025-05-26 15:43:23,2025-07-01 10:05:56,5,859,2025-05-26 22:43:23
1532,ALO,6484186759527,#23228341,4,W6334R012,AV,6484186759527_AV_598,RELEASED,2025-05-26 10:54:00,1.0,PREORDER,2025-06-10 05:03:46,2025-07-01 10:05:56,355,509,2025-06-10 12:03:46
1532,ALO,6484213596519,#23229107,3,W54187R013,AV,6484213596519_AV_216,RELEASED,2025-05-26 11:15:37,1.0,PREORDER,2025-06-01 05:04:16,2025-07-01 10:05:56,138,725,2025-06-01 12:04:16
1532,ALO,6484229783911,#23229575,4,W54187R013,AV,6484229783911_AV_991,RELEASED,2025-05-26 11:28:38,1.0,PREORDER,2025-06-01 04:04:05,2025-07-01 10:05:56,137,726,2025-06-01 11:04:05
1532,ALO,6484259373415,#23230422,1,A0590U0000050,AV,6484259373415_AV_884,RELEASED,2025-05-26 11:51:00,2.0,SALES,2025-05-26 13:22:07,2025-07-01 10:05:56,2,861,2025-05-26 20:22:07
1532,ALO,6484327072103,#23232368,2,W54187R013,AV,6484327072103_AV_469,RELEASED,2025-05-26 12:41:52,1.0,PREORDER,2025-06-01 05:03:43,2025-07-01 10:05:56,137,725,2025-06-01 12:03:43
1532,ALO,6484355121511,#23233160,2,W9680R01002,AV,6484355121511_AV_580,PICKED,2025-05-26 13:01:52,1.0,SALES,2025-05-26 14:45:07,2025-07-01 10:05:56,1,860,2025-05-26 21:45:07
1532,ALO,6484355121511,#23233160,1,M3193R060212,AV,6484355121511_AV_580,PICKED,2025-05-26 13:01:52,1.0,SALES,2025-05-26 14:45:07,2025-07-01 10:05:56,1,860,2025-05-26 21:45:07
1532,ALO,6484355121511,#23233160,4,M5142R060213,AV,6484355121511_AV_580,PICKED,2025-05-26 13:01:52,1.0,SALES,2025-05-26 14:45:07,2025-07-01 10:05:56,1,860,2025-05-26 21:45:07
1532,ALO,6484355121511,#23233160,3,W7066R018581,AV,6484355121511_AV_580,PICKED,2025-05-26 13:01:52,1.0,SALES,2025-05-26 14:45:07,2025-07-01 10:05:56,1,860,2025-05-26 21:45:07
1532,ALO,6484457292135,#23236082,1,W6334R012,AV,6484457292135_AV_700,RELEASED,2025-05-26 14:15:10,1.0,PREORDER,2025-06-10 05:03:21,2025-07-01 10:05:56,351,509,2025-06-10 12:03:21
1532,ALO,6484641677671,#23241303,1,W6334R038423,AV,6484641677671_AV_674,RELEASED,2025-05-26 17:04:55,1.0,PREORDER,2025-06-10 05:03:36,2025-07-01 10:05:56,348,509,2025-06-10 12:03:36
1532,ALO,6484662583655,#23241884,1,M3210R012,AV,6484662583655_AV_661,RELEASED,2025-05-26 17:33:00,1.0,SALES,2025-05-26 19:04:07,2025-07-01 10:05:56,2,855,2025-05-27 02:04:07
1532,ALO,6484679688551,#23242367,1,W6334R038423,AV,6484679688551_AV_484,PICKED,2025-05-26 17:57:49,1.0,PREORDER,2025-06-26 08:35:17,2025-07-01 10:05:56,735,122,2025-06-26 15:35:17
1532,ALO,6484679688551,#23242367,2,W6334R013,AV,6484679688551_AV_591,RELEASED,2025-05-26 17:57:49,1.0,PREORDER,2025-06-21 05:01:31,2025-07-01 10:05:56,612,245,2025-06-21 12:01:31
1532,ALO,6484705345895,#23243089,5,B1008F000195ML,AV,6484705345895_AV_342,RELEASED,2025-05-26 18:42:00,1.0,SALES,2025-05-27 10:18:07,2025-07-01 10:05:56,16,840,2025-05-27 17:18:07
1532,ALO,6484729594215,#23243767,6,W6334R012,AV,6484729594215_AV_851,RELEASED,2025-05-26 19:33:17,1.0,PREORDER,2025-06-10 05:03:17,2025-07-01 10:05:56,346,509,2025-06-10 12:03:17
1532,ALO,6484749844839,#23244339,4,A0363U013,AV,6484749844839_AV_988,PICKED,2025-05-26 20:23:08,1.0,SALES,2025-05-27 04:31:18,2025-07-01 10:05:56,8,846,2025-05-27 11:31:18
1532,ALO,6484749844839,#23244339,1,U3031RG100605,AV,6484749844839_AV_988,PICKED,2025-05-26 20:23:08,1.0,SALES,2025-05-27 04:31:18,2025-07-01 10:05:56,8,846,2025-05-27 11:31:18
1532,ALO,6484771471719,#23244932,5,B1008F000195ML,AV,6484771471719_AV_286,RELEASED,2025-05-26 21:46:32,1.0,SALES,2025-05-27 09:19:45,2025-07-01 10:05:56,12,841,2025-05-27 16:19:45
1532,ALO,6484779729255,#23245147,5,B1008F000195ML,AV,6484779729255_AV_419,RELEASED,2025-05-26 22:32:47,1.0,SALES,2025-05-27 09:19:40,2025-07-01 10:05:56,11,841,2025-05-27 16:19:40
1532,ALO,6484780024167,#23245155,5,B1008F000195ML,AV,6484780024167_AV_231,RELEASED,2025-05-26 22:34:03,1.0,SALES,2025-05-27 09:19:13,2025-07-01 10:05:56,11,841,2025-05-27 16:19:13
1532,ALO,6484784284007,#23245260,2,W6334R012,AV,6484784284007_AV_580,RELEASED,2025-05-26 23:05:07,1.0,PREORDER,2025-06-10 05:03:25,2025-07-01 10:05:56,342,509,2025-06-21 12:10:17
1532,ALO,6484810727783,#23245867,2,W54187R013,AV,6484810727783_AV_127,RELEASED,2025-05-27 03:14:55,1.0,PREORDER,2025-06-01 04:04:44,2025-07-01 10:05:56,121,726,2025-06-01 11:04:44
1532,ALO,6484810727783,#23245867,1,W6334R013,AV,6484810727783_AV_713,RELEASED,2025-05-27 03:14:55,1.0,PREORDER,2025-06-21 04:01:28,2025-07-01 10:05:56,601,246,2025-06-21 11:01:28
1532,ALO,6484848050535,#23246825,3,W54174R011,AM,6484848050535_AM_184,RELEASED,2025-05-27 07:00:57,1.0,PREORDER,2025-06-25 05:03:13,2025-07-01 10:05:56,694,149,2025-06-25 12:03:13
1532,ALO,6484912406887,#23248555,1,W6334R012,AV,6484912406887_AV_518,RELEASED,2025-05-27 09:18:34,1.0,PREORDER,2025-06-10 05:03:41,2025-07-01 10:05:56,332,509,2025-06-21 12:10:02
1532,ALO,6485103313255,#23253818,2,W54174R010,AV,6485103313255_AV_491,RELEASED,2025-05-27 13:07:33,1.0,PREORDER,2025-06-10 05:03:52,2025-07-01 10:05:56,328,509,2025-06-10 12:03:52
1532,ALO,6485109375335,#23253982,4,W6334R013,AV,6485109375335_AV_126,RELEASED,2025-05-27 13:13:46,1.0,PREORDER,2025-06-21 04:01:12,2025-07-01 10:05:56,591,246,2025-06-21 11:01:12
1532,ALO,6485241626983,#23257667,1,W7066R018581,AV,6485241626983_AV_234,PICKED,2025-05-27 15:27:01,1.0,SALES,2025-06-03 10:49:00,2025-07-01 10:05:56,163,672,2025-06-03 17:49:00
1532,ALO,6485255487847,#23258046,2,W54187R013,AV,6485255487847_AV_325,RELEASED,2025-05-27 15:42:28,1.0,PREORDER,2025-06-01 05:04:30,2025-07-01 10:05:56,110,725,2025-06-01 12:04:30
1532,ALO,6485268431207,#23258415,3,A0214U041011,AV,6485268431207_AV_533,RELEASED,2025-05-27 15:57:07,1.0,SALES,2025-06-21 05:02:03,2025-07-01 10:05:56,590,245,2025-06-21 12:02:03
1532,ALO,6485273280871,#23258554,2,W6334R013,AV,6485273280871_AV_715,RELEASED,2025-05-27 16:03:05,1.0,PREORDER,2025-06-21 05:02:05,2025-07-01 10:05:56,589,245,2025-06-21 12:02:05
1532,ALO,6485301035367,#23259328,6,B2M37G00011,AV,6485301035367_AV_215,RELEASED,2025-05-27 16:38:27,1.0,SALES,2025-06-03 05:04:43,2025-07-01 10:05:56,157,677,2025-06-03 12:04:43
1532,ALO,6485311324519,#23259621,4,A0214U041011,AV,6485311324519_AV_204,RELEASED,2025-05-27 16:50:42,1.0,SALES,2025-06-10 05:03:56,2025-07-01 10:05:56,325,509,2025-06-10 12:03:56
1532,ALO,6485314142567,#23259704,1,U3031RG021253,AV,6485314142567_AV_518,RELEASED,2025-05-27 16:53:59,1.0,SALES,2025-05-27 18:25:02,2025-07-01 10:05:56,2,832,2025-05-28 01:25:02
